timestamp_utc,session_count,mem_available_mib,swap_used_mib,load1,container,cpu_percent,mem_used_mib,pids
2026-07-03T02:21:47Z,6,7164,0,1.75,cgv-shinyproxy,0.91,582.10,127
2026-07-03T02:21:47Z,6,7164,0,1.75,cgv-nginx,0.00,7.07,9
2026-07-03T02:21:47Z,6,7164,0,1.75,sp-container-2a45ead0-c15e-454f-b248-312bfd2d53bc-0,5.23,1324.03,27
2026-07-03T02:21:47Z,6,7164,0,1.75,sp-container-9544bc9c-f87d-4521-ace5-4a64d9c22d4b-0,56.92,1555.46,27
2026-07-03T02:21:47Z,6,7164,0,1.75,sp-container-1957f8fc-9e10-4b6d-9f85-01701c7ecbe0-0,30.58,673.20,27
2026-07-03T02:21:47Z,6,7164,0,1.75,sp-container-853d36d1-b45e-42b5-9a2c-6d6dd615a008-0,20.73,424.50,27
2026-07-03T02:21:47Z,6,7164,0,1.75,sp-container-ce0fdee4-389f-44bf-bf43-1ac389110f85-0,41.61,1278.98,27
2026-07-03T02:21:47Z,6,7164,0,1.75,sp-container-f2b831ae-3c65-41f0-b7d6-83e19b033856-0,53.98,1845.25,27
2026-07-03T02:21:52Z,6,6891,0,1.77,cgv-shinyproxy,0.91,582.10,127
2026-07-03T02:21:52Z,6,6891,0,1.77,cgv-nginx,0.00,7.07,9
2026-07-03T02:21:52Z,6,6891,0,1.77,sp-container-2a45ead0-c15e-454f-b248-312bfd2d53bc-0,5.20,1324.03,27
2026-07-03T02:21:52Z,6,6891,0,1.77,sp-container-9544bc9c-f87d-4521-ace5-4a64d9c22d4b-0,54.47,1555.46,27
2026-07-03T02:21:52Z,6,6891,0,1.77,sp-container-1957f8fc-9e10-4b6d-9f85-01701c7ecbe0-0,33.57,809.50,27
2026-07-03T02:21:52Z,6,6891,0,1.77,sp-container-853d36d1-b45e-42b5-9a2c-6d6dd615a008-0,19.84,424.50,27
2026-07-03T02:21:52Z,6,6891,0,1.77,sp-container-ce0fdee4-389f-44bf-bf43-1ac389110f85-0,43.61,1408.00,27
2026-07-03T02:21:52Z,6,6891,0,1.77,sp-container-f2b831ae-3c65-41f0-b7d6-83e19b033856-0,51.65,1845.25,27
2026-07-03T02:21:58Z,6,6597,0,1.71,cgv-shinyproxy,0.91,582.10,127
2026-07-03T02:21:58Z,6,6597,0,1.71,cgv-nginx,0.00,7.07,9
2026-07-03T02:21:58Z,6,6597,0,1.71,sp-container-2a45ead0-c15e-454f-b248-312bfd2d53bc-0,5.17,1324.03,27
2026-07-03T02:21:58Z,6,6597,0,1.71,sp-container-9544bc9c-f87d-4521-ace5-4a64d9c22d4b-0,52.23,1555.46,27
2026-07-03T02:21:58Z,6,6597,0,1.71,sp-container-1957f8fc-9e10-4b6d-9f85-01701c7ecbe0-0,36.32,1153.02,27
2026-07-03T02:21:58Z,6,6597,0,1.71,sp-container-853d36d1-b45e-42b5-9a2c-6d6dd615a008-0,19.02,424.50,27
2026-07-03T02:21:58Z,6,6597,0,1.71,sp-container-ce0fdee4-389f-44bf-bf43-1ac389110f85-0,41.81,1408.00,27
2026-07-03T02:21:58Z,6,6597,0,1.71,sp-container-f2b831ae-3c65-41f0-b7d6-83e19b033856-0,49.52,1845.25,27
2026-07-03T02:22:03Z,6,6563,0,1.68,cgv-shinyproxy,0.91,582.10,127
2026-07-03T02:22:03Z,6,6563,0,1.68,cgv-nginx,0.00,7.07,9
2026-07-03T02:22:03Z,6,6563,0,1.68,sp-container-2a45ead0-c15e-454f-b248-312bfd2d53bc-0,5.14,1324.03,27
2026-07-03T02:22:03Z,6,6563,0,1.68,sp-container-9544bc9c-f87d-4521-ace5-4a64d9c22d4b-0,50.17,1555.46,27
2026-07-03T02:22:03Z,6,6563,0,1.68,sp-container-1957f8fc-9e10-4b6d-9f85-01701c7ecbe0-0,38.83,1185.79,27
2026-07-03T02:22:03Z,6,6563,0,1.68,sp-container-853d36d1-b45e-42b5-9a2c-6d6dd615a008-0,18.27,424.50,27
2026-07-03T02:22:03Z,6,6563,0,1.68,sp-container-ce0fdee4-389f-44bf-bf43-1ac389110f85-0,40.16,1408.00,27
2026-07-03T02:22:03Z,6,6563,0,1.68,sp-container-f2b831ae-3c65-41f0-b7d6-83e19b033856-0,47.57,1845.25,27
2026-07-03T02:22:09Z,6,6572,0,1.63,cgv-shinyproxy,0.91,582.10,127
2026-07-03T02:22:09Z,6,6572,0,1.63,cgv-nginx,0.00,7.07,9
